21
# x y z
-10	0	0
-9	0	0
-8	0	0
-7	0	0
-6	0	0
-5	0	0
-4	0	0
-3	0	0
-2	0	0
-1	0	0
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
171
# a b m n rhoa k ma
5	6	14	15	1.77528693651498e+02	-2.26194671058463e+03	8.53143598389734e-02
6	7	15	16	1.78273803762367e+02	-2.26194671058463e+03	8.48116844846488e-02
7	8	16	17	1.77605962966852e+02	-2.26194671058463e+03	8.52600331440909e-02
8	9	17	18	1.76566926919902e+02	-2.26194671058463e+03	8.46652606127709e-02
9	10	18	19	1.78733488676898e+02	-2.26194671058463e+03	7.60767179787363e-02
10	11	19	20	1.90628012569291e+02	-2.26194671058463e+03	5.00231672815017e-02
11	12	20	21	2.11967329937560e+02	-2.26194671058463e+03	1.49638569900129e-02
1	2	11	12	1.92412658217904e+02	-3.11017672705390e+03	5.21341005950383e-02
2	3	12	13	1.80697133150763e+02	-3.11017672705390e+03	7.78743948849935e-02
3	4	13	14	1.79140049656842e+02	-3.11017672705390e+03	8.53771740896140e-02
4	5	14	15	1.81018528719315e+02	-3.11017672705390e+03	8.46795393301470e-02
5	6	15	16	1.82595059739557e+02	-3.11017672705390e+03	8.31153154791295e-02
6	7	16	17	1.82637423126255e+02	-3.11017672705390e+03	8.30878616500386e-02
7	8	17	18	1.81113008108509e+02	-3.11017672705390e+03	8.46107860835977e-02
8	9	18	19	1.79164856727760e+02	-3.11017672705390e+03	8.53306694908993e-02
9	10	19	20	1.80671850145848e+02	-3.11017672705390e+03	7.78698933621158e-02
10	11	20	21	1.92407750727694e+02	-3.11017672705390e+03	5.21552589230486e-02
1	2	12	13	1.80425982896465e+02	-4.14690230273857e+03	7.92858078594260e-02
2	3	13	14	1.79431640881765e+02	-4.14690230273857e+03	8.58032511283101e-02
3	4	14	15	1.82042524106549e+02	-4.14690230273857e+03	8.40069210399444e-02
4	5	15	16	1.84353495973211e+02	-4.14690230273857e+03	8.13750353969708e-02
5	6	16	17	1.85200008886808e+02	-4.14690230273857e+03	8.03629256191933e-02
6	7	17	18	1.84408798353867e+02	-4.14690230273857e+03	8.13353896824033e-02
7	8	18	19	1.82075470673857e+02	-4.14690230273857e+03	8.39617442838634e-02
8	9	19	20	1.79466013638743e+02	-4.14690230273857e+03	8.57419685196952e-02
9	10	20	21	1.80423323290046e+02	-4.14690230273857e+03	7.92570162215023e-02
1	2	13	14	1.77693295138906e+02	-5.39097299355998e+03	8.61467787200508e-02
2	3	14	15	1.80790670914051e+02	-5.39097299355998e+03	8.34925360873505e-02
3	4	15	16	1.83706803388509e+02	-5.39097299355998e+03	7.99910164819265e-02
4	5	16	17	1.85228175665700e+02	-5.39097299355998e+03	7.80306948823368e-02
5	6	17	18	1.85239818506106e+02	-5.39097299355998e+03	7.80187899142428e-02
6	7	18	19	1.83708737525467e+02	-5.39097299355998e+03	7.99697501543980e-02
7	8	19	20	1.80829508097512e+02	-5.39097299355998e+03	8.34352413141189e-02
8	9	20	21	1.77749506797942e+02	-5.39097299355998e+03	8.60602984213280e-02
1	2	14	15	1.77664074187862e+02	-6.86123835544022e+03	8.31534408117206e-02
2	3	15	16	1.80946382850990e+02	-6.86123835544022e+03	7.90090154323746e-02
3	4	16	17	1.83000199026402e+02	-6.86123835544022e+03	7.63120382297684e-02
4	5	17	18	1.83659600751961e+02	-6.86123835544022e+03	7.53951686225295e-02
5	6	18	19	1.82966968625474e+02	-6.86123835544022e+03	7.63136969630850e-02
6	7	19	20	1.80955926561077e+02	-6.86123835544022e+03	7.89753970521324e-02
7	8	20	21	1.77725637448552e+02	-6.86123835544022e+03	8.30718696939228e-02
1	2	15	16	1.76515342282566e+02	-8.57654794430010e+03	7.83631692305791e-02
2	3	16	17	1.78879632392333e+02	-8.57654794430010e+03	7.51452064111916e-02
3	4	17	18	1.80036349352711e+02	-8.57654794430010e+03	7.35513810963201e-02
4	5	18	19	1.79998930888883e+02	-8.57654794430010e+03	7.35614210277518e-02
5	6	19	20	1.78857189214648e+02	-8.57654794430010e+03	7.51335699959879e-02
6	7	20	21	1.76551953310783e+02	-8.57654794430010e+03	7.83048133160357e-02
1	2	16	17	1.73329181240854e+02	-1.05557513160616e+04	7.44087313936163e-02
2	3	17	18	1.74776351946618e+02	-1.05557513160616e+04	7.23505522507564e-02
3	4	18	19	1.75232346384645e+02	-1.05557513160616e+04	7.16997975114768e-02
4	5	19	20	1.74752416282385e+02	-1.05557513160616e+04	7.23464168525035e-02
5	6	20	21	1.73338679286698e+02	-1.05557513160616e+04	7.43714476999127e-02
1	2	17	18	1.68340937304496e+02	-1.28176980266464e+04	7.16344266728990e-02
2	3	18	19	1.69091547164727e+02	-1.28176980266464e+04	7.05385795231515e-02
3	4	19	20	1.69102190581075e+02	-1.28176980266464e+04	7.05254016356952e-02
4	5	20	21	1.68352600744934e+02	-1.28176980266464e+04	7.16035691335071e-02
1	2	18	19	1.62021501066550e+02	-1.53812376319761e+04	6.98942193079030e-02
2	3	19	20	1.62330372583180e+02	-1.53812376319761e+04	6.94414449615431e-02
3	4	20	21	1.62066327915861e+02	-1.53812376319761e+04	6.98545055805389e-02
1	2	19	20	1.54856393455877e+02	-1.82652196879705e+04	6.88927635828234e-02
2	3	20	21	1.54891298591740e+02	-1.82652196879705e+04	6.88657282109567e-02
1	2	20	21	1.47214146027909e+02	-2.14884937505537e+04	6.84226225650156e-02
0
